Beyond the Bridge Vision VCT,Beyond the Bridge Vision VCT
BHESP,BHESP
Biafra Lions,Biafra Lions Clinic
Biafra Medical,Biafra Medical Clinic
Bibirioni Dispensary,Bibirioni Dispensary
Bibirioni Health Centre,Bibirioni Health Centre
Bisunu,Bisunu Dispensary
Bituyu,Bituyu Dispensary
Blessed Louis Palazzolo,Blessed Louis Palazzolo Health Centre
Blessed Medi,Blessed Medicare Centre
Bliss GVS Kimilili,Bliss GVS Health Care Kimilili
Bliss Kibera,Bliss Health Care (Kibera)
Blissgvs Pipeline,Blissgvs Health Care(Pipeline)
Blue Haven,Blue Haven Medical Clinic
Blue House AHF,Blue House (AHF) Dispensary
Bodaki,Bodaki Medical Clinic
Bokoli Base,Bokoli Base Clinic
Bokoli Hospital,Bokoli Hospital
Bomas of,Bomas of Kenya Dispensary
Bomu Kibera,Bomu Medical Centre Kibera
Boore,Boore Clinic
Boskem,Boskem Medical Clinic
Bridging out patient,Bridging out patient clinic
BrightStar,BrightStar Medical Clinic
Bristal Park,Bristal Park Hospital
Bristol Park Utawala,Bristol Park Hospital Utawala
British American Tobacco,British American Tobacco Kenya Clinic
Brother andre,Brother andre Clinic
Bukembe,Bukembe Dispensary
Bukokholo,Bukokholo Dispensary
Bulondo,Bulondo Dispensary
Bumula,Bumula  Subcounty Hospital
Bungoma,Bungoma County Referral Hospital
Bungoma Beyond Zero Mobile,Bungoma Beyond Zero Mobile Unit
Bungoma Referral,Bungoma County Referral Hospital
Bungoma West,Bungoma West Medical Services
Bungoma District,Bungoma County Referral Hospital
Buruburu Friends,Buruburu Friends Clinic
Buruburu Medical,Buruburu Medical Clinic
Butieli,Butieli Dispensary
Butonge,Butonge Dispensary
By Faith Maiaihii PCEA Womens Guild,By Faith Mai-aihii (PCEA) Womens Guild Dispensary
C I D Headquaters,C I D Headquaters Clinic
Cana Family Life,Cana Family Life Clinic
Canaan Providers Nairobi,Canaan Health Providers (Nairobi)
Care Hospital,Care Hospital
Caremax,Caremax Health Services
Cargo Human,Cargo Human Care
Caritas community,Caritas community hospital
Caritas Mariah,Caritas Mariah
Carolina For Kibera VCT,Carolina For Kibera VCT
Caros,Caros Medical Centre
Catholic University,Catholic University Dispensary
Catmag,Catmag Medical Centre
Celipharm,Celipharm    medical clinic
Central Bank Staff,Central Bank Staff Clinic
Central Memorial,Central Memorial Hospital
CFW,CFW Clinic
CFW Kibagare,CFW Clinic Kibagare
Chaka,Chaka Medical Clinic
Chandaria,Chandaria Health Centre
Chania Obstetrics Gyno,Chania Obstetrics Gyno Clinic
Charity,Charity Medical Clinic
Charolyn Specialist,Charolyn Specialist Clinic
Chebon,Chebon Medical Clinic
Chebu,Chebu Healthcare Services LTD.
Chebukaka,Chebukaka Dispensary
Chebukutumi,Chebukutumi Dispensary
Chebukwabi,Chebukwabi Dispensary
Chemses,Chemses Dispensary
Chemwa Bridge,Chemwa Bridge Dispensary
Chemworemwo,Chemworemwo Dispensary
Chepkerer,Chepkerer Dispensary
Chepkube,Chepkube Dispensary
Cheptais Medical,Cheptais Medical Clinic
Cheptais,Cheptais Sub County Hospital
Chesikaki,Chesikaki Dispensary
Chesinende,Chesinende Dispensary
Child Family Wellness,Child & Family Wellness Clinic
Child Doctor,Child Doctor Kenya
Chonesus,Chonesus Clinic
Christian Aid,Christian Aid Dispensary
Chrizah,Chrizah Medical Clinic
Church Army,Church Army Medical Clinic
Chwele Friends,Chwele Friends Dispensary
Chwele Hospital,Chwele Sub District Hospital
Chwele,Chwele Sub District Hospital
Cianda,Cianda Dispensary
Cidi Kayole,Cidi Kayole Clinic
Cidi Mukuru,Cidi Mukuru Clinic
City Limited,City Health Limited
City Jacaranda SDA Church,City Jacaranda SDA Church Clinic
Clinitec,Clinitec Medical Services
Clinix,Clinix Health Care
CMIA Grace Children's,CMIA Grace Children's Centre Dispensary
Coffee Research Staff,Coffee Research Staff Dispensary
Columbia Africa,Columbia Africa Health Care Ltd
Comboni Sisters H Project VCT,Comboni Sisters H Project VCT
Communal Oriented Service International,Communal Oriented Service International Centre
community Evolution Network VCT,Community Evolution Network VCT
community Foundation,Community Health Foundation
Compassionate Hospital,Compassionate Hospital
Complete Care,Complete Care Health Services
Conerstone,Conerstone Clinic
Congo,Congo medical services
CONI,CONI Health Centre
Connections,Connections Medical Clinic
Consolata Shrine,Consolata Shrine Dispensary
Coptic Hospital,Coptic Hospital (Ngong Road)
Coptic Clinic,Coptic Medical Clinic
Corban,Corban Health care
Cordis Maria,Cordis Maria Dispensary
Corner Stone,Corner Stone
Cosmos,Cosmos  Medical Clinic
Cotolengo,Cotolengo Centre
Courtesy CBS,Courtesy CBS
Creadis HTC,Creadis HTC Centre
Creative Services,Creative Medical Services
Crescent Aid Jamia Murang'a Road,Crescent Medical Aid (Jamia) Murang'a Road
Crescent Aid Pangani,Crescent Medical Aid (Pangani)
Crestwood,Crestwood Medical Clinic
Cura,Cura Medical Clinic
Cure AIC International,Cure (AIC) International Hospital
Dabliu,Dabliu Clinic
Dadas VCT,Dadas VCT
Dagoretti Approved,Dagoretti Approved Dispensary
Dagoretti community,Dagoretti Community Dispensary
Dagoretti community VCT,Dagoretti Community VCT
Dan Pharmacy Kangemi,Dan Pharmacy Kangemi
Dandora EDARP,Dandora (EDARP) Clinic
Dandora,Dandora Health Services
Dandora I,Dandora I Health Centre
Dandora II,Dandora II Health Centre
Dandora Medical,Dandora Medical Centre
Darushif,Darushif Medical Clinic
Dawa Jema,Dawa Jema Medical Clinic
Debomart Systems,Debomart Healthcare Systems
Del Monte,Del Monte Dispensary
Delight,Delight Medical Centre
Delta Dandora,Delta Medical Clinic Dandora
Destiny Centre,Destiny Medical Centre
Destiny Clinic,Destiny Medical clinic
Devki Staff Ruiru,Devki Staff Clinic (Ruiru)
Diani,Diani Dispensary
Discordant Couples ofVCT,Discordant Couples of Kenya VCT
Divine Mercy Parish,Divine Mercy Parish Dispensary
Diwopa,Diwopa Health Centre
DOD MRS,DOD MRS Dispensary
Dog O PPolice,Dog Unit Dispensary (O P Kenya Police)
Domiciliary,Domiciliary Health Care Medical Clinic
Dork Nursing,Dorkcare Nursing Home
Dornaled communityMaternity,Dornaled Community Health centre and Maternity
Doulos Youth FriendlyVCT KCC,Doulos Youth Friendly And VCT (KCC)
Dr Alube's,Dr Alube's Clinic
Dr Aziz MOHamed,Dr Aziz MOHamed Medical Clinic
Dr Gachare,Dr Gachare Medical Clinic
Dr Irimu,Dr Irimu
